,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,
,Estimated resident population,Deaths,Standardised death rate,,Estimated resident population,Deaths,Standardised death rate,,Estimated resident population,Deaths,Standardised death rate,,Estimated resident population,Deaths,Standardised death rate,,Estimated resident population,Deaths,Standardised death rate,,Estimated resident population,Deaths,Standardised death rate,,Estimated resident population,Deaths,Standardised death rate,,Estimated resident population,Deaths,Standardised death rate,,Estimated resident population,Deaths,Standardised death rate
2020 LGA Name,persons,no.,rate,,persons,no.,rate,,persons,no.,rate,,persons,no.,rate,,persons,no.,rate,,persons,no.,rate,,persons,no.,rate,,persons,no.,rate,,persons,no.,rate
,,,,,,,,,,,,,,,,,,,,,"125,411",766,4.6,,"127,906",738,4.3,," 130,313 ", 769 ,4.3,,"131,753",884,4.4
,,,,,,,,,,,,,,,,,,,,,"33,442",201,5.7,,"34,156",183,5.5,," 35,051 ", 212 ,5.4,,"36,013",260,5.6
,,,,,,,,,,,,,,,,,,,,,"176,974","1,203",5.4,,"181,780","1,132",5.2,," 185,811 "," 1,203 ",5.2,,"188,762","1,188",5.1
,,,,,,,,,,,,,,,,,,,,,"163,834","1,425",5.0,,"165,823","1,417",4.8,," 167,619 "," 1,550 ",4.7,,"168,862","1,486",4.7
,,,,,,,,,,,,,,,,,,,,,"19,297",188,5.5,,"19,514",166,5.2,," 19,751 ", 206 ,5.3,,"20,001",185,5.3
,,,,,,,,,,,,,,,,,,,,,"16,793",119,5.5,,"16,887",140,5.7,," 16,952 ", 123 ,5.6,,"17,027",125,5.5
,,,,,,,,,,,,,,,,,,,,,"14,234",127,5.6,,"14,478",124,5.7,," 14,568 ", 142 ,6.2,,"14,661",117,5.9
,,,,,,,,,,,,,,,,,,,,,"64,618",227,4.5,,"64,941",254,4.4,," 65,099 ", 291 ,4.4,,"65,219",281,4.5
,,,,,,,,,,,,,,,,,,,,,"11,517",147,6.8,,"11,430",128,6.9,," 11,401 ", 103 ,6.2,,"11,403",113,5.7
,,,,,,,,,,,,,,,,,,,,,"110,656",513,4.9,,"113,265",474,4.6,," 115,620 ", 535 ,4.7,,"116,476",477,4.4
,,,,,,,,,,,,,,,,,,,,,"7,358",57,6.1,,"7,353",66,5.7,," 7,470 ", 72 ,5.2,,"7,555",73,5.4
,,,,,,,,,,,,,,,,,,,,,"2,959",27,np,,"2,982",39,np,," 2,939 ", 33 ,np,,"3,008",34,np
,,,,,,,,,,,,,,,,,,,,,"29,321",252,5.2,,"29,575",257,5.2,," 29,910 ", 300 ,5.4,,"30,248",308,5.7
,,,,,,,,,,,,,,,,,,,,,"16,123",165,6.1,,"16,134",160,5.5,," 16,098 ", 202 ,5.8,,"16,134",160,5.7
,,,,,,,,,,,,,,,,,,,,,"113,772",647,4.4,,"116,281",576,4.2,," 117,776 ", 723 ,4.4,,"118,614",614,4.2
,,,,,,,,,,,,,,,,,,,,,"10,484",120,5.8,,"10,644",125,5.6,," 10,778 ", 116 ,5.5,,"10,992",118,5.4
